"cancellation_policy","room_type","construction_year","service_fee","minimum_nights","number_of_reviews","reviews_per_month","review_rate_number","availability_365","price_usd","months_active","max_stays_per_month"
"moderate","Private room",2014,105,1,45,1.33,2,8,527,33.8345864661654,31
"strict","Private room",2020,64,30,41,0.99,2,63,322,41.4141414141414,1.03333333333333
"strict","Private room",2014,23,1,1,0.06,3,0,114,16.6666666666667,31
"strict","Entire home/apt",2004,231,3,22,1.15,4,279,1154,19.1304347826087,10.3333333333333
"flexible","Private room",2019,97,30,2,0.21,4,365,483,9.52380952380952,1.03333333333333
"moderate","Entire home/apt",2003,207,4,61,2.26,1,255,1034,26.9911504424779,7.75
"moderate","Private room",2010,95,1,3,0.09,5,0,476,33.3333333333333,31
"moderate","Entire home/apt",2008,193,2,6,0.2,3,0,965,30,15.5
"moderate","Entire home/apt",2011,178,5,1,0.02,1,255,890,50,6.2
"moderate","Entire home/apt",2003,83,2,14,0.73,2,335,417,19.1780821917808,15.5
"strict","Shared room",2014,98,2,3,0.81,5,31,489,3.7037037037037,15.5
"flexible","Private room",2018,92,10,1,0.08,4,0,459,12.5,3.1
"strict","Private room",2009,62,7,21,0.94,2,297,308,22.3404255319149,4.42857142857143
"flexible","Private room",2007,235,1,107,2.2,2,111,1177,48.6363636363636,31
"strict","Private room",2010,197,3,14,0.39,4,42,986,35.8974358974359,10.3333333333333
"strict","Private room",2022,167,1,5,0.51,4,365,837,9.80392156862745,31
"flexible","Entire home/apt",2016,178,3,4,0.1,2,367,889,40,10.3333333333333
"flexible","Entire home/apt",2007,47,7,3,2.31,5,0,233,1.2987012987013,4.42857142857143
"moderate","Entire home/apt",2005,228,30,1,0.04,5,45,1138,25,1.03333333333333
"strict","Entire home/apt",2017,105,3,49,4.06,4,293,525,12.0689655172414,10.3333333333333
"strict","Private room",2020,118,1,50,1.59,2,61,588,31.4465408805031,31
"flexible","Private room",2016,48,25,5,0.33,3,155,242,15.1515151515152,1.24
"moderate","Entire home/apt",2006,88,2,7,0.52,4,0,440,13.4615384615385,15.5
"strict","Entire home/apt",2009,14,2,48,0.48,4,86,69,100,15.5
"moderate","Private room",2010,160,2,29,2.03,4,43,800,14.2857142857143,15.5
"moderate","Entire home/apt",2017,131,1,2,2,3,300,655,1,31
"moderate","Entire home/apt",2020,155,3,4,0.18,3,0,775,22.2222222222222,10.3333333333333
"moderate","Private room",2018,94,1,92,3.99,2,102,472,23.0576441102757,31
"moderate","Private room",2017,210,1,39,0.37,3,9,1050,105.405405405405,31
"moderate","Private room",2004,37,1,14,0.43,5,249,183,32.5581395348837,31
"strict","Private room",2015,174,3,3,1.67,3,45,871,1.79640718562874,10.3333333333333
"strict","Private room",2005,92,1,18,1.79,2,71,461,10.0558659217877,31
"flexible","Entire home/apt",2009,46,9,2,0.28,2,12,228,7.14285714285714,3.44444444444444
"moderate","Entire home/apt",2015,69,1,12,0.43,5,0,343,27.906976744186,31
"strict","Entire home/apt",2022,146,2,7,0.3,1,0,729,23.3333333333333,15.5
"moderate","Entire home/apt",2012,142,10,2,0.15,5,95,708,13.3333333333333,3.1
"moderate","Entire home/apt",2018,97,30,17,0.34,3,0,484,50,1.03333333333333
"strict","Entire home/apt",2018,229,30,3,0.3,2,113,1147,10,1.03333333333333
"moderate","Entire home/apt",2003,175,2,54,1.91,4,267,877,28.2722513089005,15.5
"flexible","Private room",2012,210,30,9,0.21,2,220,1049,42.8571428571429,1.03333333333333
"flexible","Private room",2018,102,1,2,2,5,350,508,1,31
"moderate","Private room",2017,64,25,13,0.48,4,38,322,27.0833333333333,1.24
"strict","Entire home/apt",2017,77,4,26,1.18,1,145,386,22.0338983050847,7.75
"moderate","Entire home/apt",2004,109,1,80,5.78,3,283,543,13.840830449827,31
"strict","Private room",2005,25,17,24,0.45,1,422,126,53.3333333333333,1.82352941176471
"moderate","Entire home/apt",2021,139,30,3,0.09,2,213,696,33.3333333333333,1.03333333333333
"flexible","Entire home/apt",2008,238,3,1,0.02,3,81,1192,50,10.3333333333333
"flexible","Private room",2020,140,3,49,3.68,5,11,701,13.3152173913043,10.3333333333333
"moderate","Entire home/apt",2004,27,30,56,0.5,4,100,135,112,1.03333333333333
"flexible","Private room",2021,147,1,6,0.1,2,143,736,60,31
"flexible","Private room",2017,219,30,3,0.44,2,326,1095,6.81818181818182,1.03333333333333
"strict","Private room",2020,220,3,1,1,3,336,1101,1,10.3333333333333
"flexible","Entire home/apt",2012,133,1,7,0.67,4,1,663,10.4477611940298,31
"strict","Entire home/apt",2003,27,1,8,0.73,3,0,136,10.958904109589,31
"strict","Entire home/apt",2014,93,3,4,0.18,3,36,466,22.2222222222222,10.3333333333333
"flexible","Private room",2021,82,1,23,1.85,4,263,408,12.4324324324324,31
"strict","Private room",2020,213,15,2,0.06,5,415,1067,33.3333333333333,2.06666666666667
"moderate","Entire home/apt",2012,93,1,18,4.15,4,146,464,4.33734939759036,31
